type,code,message,context,selector,selector,
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\simple\"" lang=\""en\"">Simple English</option>""",#searchLanguage > option:nth-child(48),,#searchLanguage > option:nth-child(48)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\ceb\"" lang=\""ceb\"">Sinugboanong Binisaya</option>""",#searchLanguage > option:nth-child(49),,#searchLanguage > option:nth-child(49)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\sk\"" lang=\""sk\"">Slovenčina</option>""",#searchLanguage > option:nth-child(50),,#searchLanguage > option:nth-child(50)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\sl\"" lang=\""sl\"">Slovenščina</option>""",#searchLanguage > option:nth-child(51),,#searchLanguage > option:nth-child(51)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\sr\"" lang=\""sr\"">Српски / Srpski</option>""",#searchLanguage > option:nth-child(52),,#searchLanguage > option:nth-child(52)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\sh\"" lang=\""sh\"">Srpskohrvatski / Српскохрватски</option>""",#searchLanguage > option:nth-child(53),,#searchLanguage > option:nth-child(53)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\fi\"" lang=\""fi\"">Suomi</option>""",#searchLanguage > option:nth-child(54),,#searchLanguage > option:nth-child(54)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\sv\"" lang=\""sv\"">Svenska</option>""",#searchLanguage > option:nth-child(55),,#searchLanguage > option:nth-child(55)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\ta\"" lang=\""ta\"">தமிழ்</option>""",#searchLanguage > option:nth-child(56),,#searchLanguage > option:nth-child(56)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\tt\"" lang=\""tt\"">Татарча / Tatarça</option>""",#searchLanguage > option:nth-child(57),,#searchLanguage > option:nth-child(57)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\th\"" lang=\""th\"">ภาษาไทย</option>""",#searchLanguage > option:nth-child(58),,#searchLanguage > option:nth-child(58)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\tg\"" lang=\""tg\"">Тоҷикӣ</option>""",#searchLanguage > option:nth-child(59),,#searchLanguage > option:nth-child(59)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\azb\"" lang=\""azb\"">تۆرکجه</option>""",#searchLanguage > option:nth-child(60),,#searchLanguage > option:nth-child(60)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\tr\"" lang=\""tr\"">Türkçe</option>""",#searchLanguage > option:nth-child(61),,#searchLanguage > option:nth-child(61)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\uk\"" lang=\""uk\"">Українська</option>""",#searchLanguage > option:nth-child(62),,#searchLanguage > option:nth-child(62)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\ur\"" lang=\""ur\"">اردو</option>""",#searchLanguage > option:nth-child(63),,#searchLanguage > option:nth-child(63)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\vi\"" lang=\""vi\"">Tiếng Việt</option>""",#searchLanguage > option:nth-child(64),,#searchLanguage > option:nth-child(64)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\war\"" lang=\""war\"">Winaray</option>""",#searchLanguage > option:nth-child(65),,#searchLanguage > option:nth-child(65)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\zh-yue\"" lang=\""yue\"">粵語</option>""",#searchLanguage > option:nth-child(66),,#searchLanguage > option:nth-child(66)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\zh\"" lang=\""zh\"">中文</option>""",#searchLanguage > option:nth-child(67),,#searchLanguage > option:nth-child(67)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\ru\"" lang=\""ru\"">Русский</option>""",#searchLanguage > option:nth-child(68),,#searchLanguage > option:nth-child(68)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\hy\"" lang=\""hy\"">Հայերեն</option>""",#searchLanguage > option:nth-child(69),,#searchLanguage > option:nth-child(69)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\my\"" lang=\""my\"">မြန်မာဘာသာ</option>""",#searchLanguage > option:nth-child(70),,#searchLanguage > option:nth-child(70)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.,"<i class=\sprite svg-search-icon\"" data-jsl10n=\""search-input-button\"">Search</i>""",#search-form > fieldset > button > i,,#search-form > fieldset > button > i
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.,"<span class=\jsl10n sprite svg-badge_google_play_store\"" data-jsl10n=\""portal.app-links.google-store\"">Google Play Store</span>""",#www-wikipedia-org > div:nth-child(8) > div:nth-child(2) > div > div > ul > li:nth-child(1) > a > span,,#www-wikipedia-org > div:nth-child(8) > div:nth-child(2) > div > div > ul > li:nth-child(1) > a > span
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.,"<span class=\jsl10n sprite svg-badge_ios_app_store\"" data-jsl10n=\""portal.app-links.apple-store\"">Apple App Store</span>""",#www-wikipedia-org > div:nth-child(8) > div:nth-child(2) > div > div > ul > li:nth-child(2) > a > span,,#www-wikipedia-org > div:nth-child(8) > div:nth-child(2) > div > div > ul > li:nth-child(2) > a > span
